src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
10.0.0.1,10.0.0.2,1740,798,6,2024-02-16 07:23:33,16391360,88.9493001190871,1.64720926146458,0.793100755519981,0.854108505944595,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630436.269230769,2864549,-17,863446.381249385,5113078,1677524,-10,426089.833333333,629304.040390233,16169912,2864549,76923,1243839.38461538,871303.631350751,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2502955,2733,876273.7,810063.255706868,2648626,18194,968485,821298.518371568,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,799,6,2024-02-16 07:23:33,16391371,88.9492404265635,1.64720815604747,0.793100223282116,0.854107932765356,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630436.923076923,2864522,-11,863319.372174004,5113429,1677394,-4,426119.083333333,629206.621566326,16169806,2864522,76810,1243831.23076923,871082.316467292,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2501681,2734,876039.5,809765.870240436,2648572,18199,968287.416666667,821072.13237444,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,800,6,2024-02-16 07:23:33,16391382,88.9491807341199,1.64720705063185,0.793099691044965,0.854107359586885,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630437.423076923,2864523,-9,863384.344375541,5113477,1677285,-4,426123.083333333,629179.630387255,16169737,2864523,76735,1243825.92307692,871235.232979145,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2502475,2738,876264.8,809913.921912792,2649105,18201,968474.583333333,821209.935868458,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,801,6,2024-02-16 07:23:33,16391395,88.9491101886081,1.64720574423348,0.793099062038344,0.85410668219514,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630437.961538462,2864464,-8,863375.892239674,5113496,1677525,-3,426124.666666667,629143.903565834,16169671,2864464,76662,1243820.84615385,871260.039319256,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2502439,2738,876292.8,809896.134195343,2649165,18204,968493,821192.776714153,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,802,6,2024-02-16 07:23:33,16391406,88.9490504963394,1.6472046388211,0.793098529802752,0.854106109018348,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630437.769230769,2864460,-24,863176.249640304,5113513,1677398,-9,426126.083333333,629092.69686264,16169624,2864460,76609,1243817.23076923,870888.320786677,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2499407,2740,875809,809397.95884225,2649160,18206,968089.166666667,820861.917316775,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,803,6,2024-02-16 07:23:33,16391418,88.9489853775921,1.64720343291837,0.79309794918292,0.854105483735452,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630438.230769231,2864139,-24,863108.736799239,5113531,1677349,-9,426127.583333333,629064.433892832,16169568,2864139,76546,1243812.92307692,870767.727698907,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2498258,2742,875947.4,809021.486327304,2648522,18207,968177.416666667,820818.038968895,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,804,6,2024-02-16 07:23:33,16391462,88.9487466096679,1.64719901129015,0.793095820250811,0.854103191039335,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630439.884615385,2863791,-25,863010.807775908,5113549,1677228,-10,426129.083333333,629023.714909655,16169589,2863791,76529,1243814.53846154,870583.609186621,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2497254,2742,875776.7,808824.602967176,2647852,18213,968006.166666667,820594.263334387,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,805,6,2024-02-16 07:23:33,16391476,88.9486706383245,1.64719760441342,0.793095142865719,0.854102461547697,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630440.423076923,2863449,-25,862893.960712268,5113603,1677116,-10,426133.583333333,628972.8774671,16169587,2863449,76518,1243814.38461538,870375.103614045,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2496039,2745,875558.6,808591.545659884,2647171,18215,967795.416666667,820332.232865589,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,806,6,2024-02-16 07:23:33,16391488,88.9486055201334,1.64719639852099,0.793094562250846,0.854101836270142,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630441.269230769,2863103,-15,862856.354391513,5113649,1676997,-5,426137.416666667,628937.632540972,16169581,2863103,76506,1243813.92307692,870321.094476097,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2495696,2745,875584.8,808509.121731079,2646468,18219,967788.416666667,820200.913948879,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,807,6,2024-02-16 07:23:33,16391644,88.9477589923256,1.6471807220801,0.793087014334865,0.854093707745239,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630446.153846154,2862806,-44,863982.671078655,5113670,1676856,-9,426139.166666667,629012.432787147,16169142,2862806,75917,1243780.15384615,872516.510111973,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2493599,2746,881078.6,808830.078469291,2646007,18222,972341.666666667,822048.176972142,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
