src_port,dst_port,protocol,flow_pkts_s,flow_iat_max,bwd_iat_tot,bwd_iat_max,bwd_header_len,bwd_pkts_s,init_bwd_win_byts
64329,4255,6,1.8162400924103,0,0,0,20,0.908120046205148,0
64329,4980,6,45.9200073472012,0,0,0,20,22.9600036736006,0
64329,2379,6,2.00448804874113,0,0,0,20,1.00224402437057,0
64329,2242,6,35.8641466126314,0,0,0,20,17.9320733063157,0
64329,3330,6,8.28682353623621,0,0,0,20,4.1434117681181,0
64329,460,6,43.5227297456096,0,0,0,20,21.7613648728048,0
64329,3559,6,2.0843646595972,0,0,0,20,1.0421823297986,0
7538,80,6,2.61371230510992,2238377,4987977,1649107,120,0.825382833192606,0
3460,80,6,2.64080584190266,1831076,8946667,2786095,160,0.880268613967552,0
64329,824,6,61.0948191593353,0,0,0,20,30.5474095796676,0
3976,80,6,2.27390377941174,3295222,11108847,4216628,200,0.874578376696824,0
64329,464,6,1.75139169962932,0,0,0,20,0.875695849814659,0
64329,2026,6,62.6291726686291,0,0,0,20,31.3145863343145,0
4260,80,6,1.45343686602468,7227722,14034153,7227722,160,0.553690234676069,0
5758,80,6,3.0359387529716,1531675,6081399,1531681,160,1.10397772835331,0
64329,3713,6,1.58267665441147,0,0,0,20,0.791338327205737,0
64329,10,6,1.99449519326658,0,0,0,20,0.997247596633292,0
64329,4790,6,39.4890121823603,0,0,0,20,19.7445060911801,0
64329,4902,6,1.56367886727103,0,0,0,20,0.781839433635514,0
8119,80,6,2.06129154206732,2239494,1880639,833074,80,0.549677744551285,0
6804,80,6,2.61698544763261,1650007,5458967,1650020,140,0.964152533338329,0
4297,80,6,1.41379553406227,7632422,14423623,7632422,160,0.538588774880866,0
64329,4707,6,93.8218323403856,0,0,0,20,46.9109161701928,0
64329,4873,6,40.6934158053227,0,0,0,20,20.3467079026613,0
64329,1762,6,43.2741199125863,0,0,0,20,21.6370599562931,0
64329,4619,6,50.3359927516171,0,0,0,20,25.1679963758085,0
64329,1290,6,41.1522633744856,0,0,0,20,20.5761316872428,0
64329,4913,6,1.77319583972792,0,0,0,20,0.88659791986396,0
64329,3451,6,40.404856663771,0,0,0,20,20.2024283318855,0
64329,1042,6,1.48049667702521,0,0,0,20,0.740248338512604,0
64329,2134,6,1.8627229097222,0,0,0,20,0.931361454861101,0
64329,3447,6,1.8033777264817,0,0,0,20,0.90168886324085,0
8038,80,6,2.61132813385833,2239243,3749758,902958,120,0.824629937007893,0
64329,1944,6,2.05224397486822,0,0,0,20,1.02612198743411,0
5725,80,6,3.31213063705659,1149114,6096968,902933,180,1.24204898889622,0
64329,2235,6,1.98365862028608,0,0,0,20,0.991829310143042,0
64329,3668,6,2.17508569837652,0,0,0,20,1.08754284918826,0
5614,80,6,2.89860553608812,901789,6237045,2611060,140,0.966201845362707,0
64329,3744,6,44.2477876106195,0,0,0,20,22.1238938053097,0
8156,80,6,2.06116266613315,2239520,1871815,833056,80,0.549643377635506,0
64329,3068,6,1.96728019578373,0,0,0,20,0.983640097891863,0
64329,294,6,40.1099011290937,0,0,0,20,20.0549505645469,0
3909,80,6,2.53075042534684,2925295,10764235,3847737,220,0.994223381386258,0
64329,4563,6,37.2946463535159,0,0,0,20,18.647323176758,0
64329,2875,6,1.48946279545356,0,0,0,20,0.744731397726782,0
3302,80,6,2.95192023025962,1642510,8039878,2100534,160,0.983973410086539,0
64329,720,6,42.3029738990651,0,0,0,20,21.1514869495325,0
64329,2757,6,7.34481327648448,0,0,0,20,3.67240663824224,0
7446,80,6,2.33892092369766,1504100,5030217,2611744,100,0.687917918734605,0
8088,80,6,2.06140230327351,2239465,1930729,833256,80,0.549707280872935,0
64329,109,6,1.72540372290361,0,0,0,20,0.862701861451806,0
64329,1408,6,1.72208627307811,0,0,0,20,0.861043136539054,0
8352,80,6,1.92281861035702,1720789,4142696,2613222,60,0.412032559362218,0
64329,220,6,38.5482720737043,0,0,0,20,19.2741360368521,0
64329,1985,6,1.89686552456393,0,0,0,20,0.948432762281967,0
8593,80,6,1.64740416466518,2479622,1792630,900702,60,0.411851041166296,0
64329,4003,6,37.4062505844727,0,0,0,20,18.7031252922363,0
64329,1538,6,2.17215407088825,0,0,0,20,1.08607703544412,0
64329,2360,6,46.7792487252655,0,0,0,20,23.3896243626327,0
7226,80,6,2.35397877338874,901856,2493995,1534905,80,0.627727672903664,0
64329,3500,6,65.6189507529775,0,0,0,20,32.8094753764887,0
6755,80,6,2.75509075337819,1649871,5502683,1649877,140,0.964281763682366,0
64329,4487,6,2.04309291577962,0,0,0,20,1.02154645788981,0
64329,1073,6,1.73549946806941,0,0,0,20,0.867749734034706,0
64329,576,6,21.5498663908284,0,0,0,20,10.7749331954142,0
64329,147,6,12.0799207557198,0,0,0,20,6.03996037785992,0
64329,2608,6,1.86004811944485,0,0,0,20,0.930024059722425,0
64329,2021,6,56.0051524740276,0,0,0,20,28.0025762370138,0
2945,80,6,5.04565828488476,922861,8113889,922871,400,2.46129672433403,0
64329,1414,6,1.49065841636922,0,0,0,20,0.745329208184609,0
64329,4267,6,1.97267645837505,0,0,0,20,0.986338229187524,0
64329,1417,6,2.09839808290351,0,0,0,20,1.04919904145176,0
8616,80,6,1.64732388117194,2479964,1792564,900544,60,0.411830970292985,0
64329,1534,6,1.78360262760339,0,0,0,20,0.891801313801695,0
64329,153,6,1.94652885242391,0,0,0,20,0.973264426211957,0
64329,1558,6,61.2163692571394,0,0,0,20,30.6081846285697,0
64329,1680,6,39.4929110224715,0,0,0,20,19.7464555112357,0
