src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
10.0.2.15,157.240.16.20,41014,443,6,2024-02-20 11:45:33,166192,35639.5012997016,144.411283334938,72.205641667469,72.205641667469,12,12,1610,4313,721,54,134.166666666667,184.347874652487,2974,60,359.416666666667,796.279102904391,2974,54,246.791666666667,588.818023612182,346706.664930556,240,240,20,4,7225.73913043478,41938,6,14989.1807886407,165971,42000,91,15088.2727272727,18861.216730688,124254,40165,84,11295.8181818182,17127.0573167307,0,0,0,0,1,0,0,0,0,0,0,1,246.791666666667,42340,65535,41654,38995,40265.6666666667,1088.71616543932,41938,37855,39722.75,1472.80758672,0,0,313,5,0,7898.25632743698,134.166666666667,359.416666666667,0,12,12,1610,4313,Normal
10.0.2.15,157.240.16.20,41018,443,6,2024-02-20 11:45:33,419749,4180395.903266,1245.98271824352,576.535024502739,669.447693740783,242,281,19046,1735671,721,54,78.702479338843,84.9266717858986,43206,60,6176.76512455516,6685.50338019606,43206,54,3355.09942638623,5767.38207091168,33262695.9518735,4840,5620,20,26,803.835249042146,37292,-60,2746.06970127758,419749,37390,9,1741.69709543568,3936.61031963589,382321,36758,0,1365.43214285714,2948.48916560348,0,0,0,0,1,0,0,0,0,0,0,1.16115702479339,3355.09942638623,42340,65535,36999,4381,19208.8571428571,11790.3370778008,37292,5011,18591.625,11066.7369732173,0,0,858389.5,127,0,5939096.53225583,78.702479338843,6176.76512455516,0,242,281,19046,1735671,Normal
10.0.2.15,157.240.16.20,41024,443,6,2024-02-20 11:45:33,159898,37079.8884288734,150.095685999825,75.0478429999124,75.0478429999124,12,12,1610,4319,721,54,134.166666666667,184.347874652487,2974,60,359.916666666667,797.474394399107,2974,54,247.041666666667,589.674096370661,347715.539930556,240,240,20,4,6950.39130434783,41034,-39,13980.0280734281,159516,41034,26,14501.4545454545,17652.733387952,122099,41338,0,11099.9090909091,16116.4675097161,0,0,0,0,1,0,0,0,0,0,0,1,247.041666666667,42340,0,40873,36338,38149.3333333333,1960.58160305105,41016,32762,36842.75,3003.4491318316,0,0,72,5,0,31816.1732213875,134.166666666667,359.916666666667,0,12,12,1610,4319,Normal
10.0.2.15,157.240.16.20,41026,443,6,2024-02-20 11:45:33,157650,37602.2835394862,152.235965746908,76.1179828734539,76.1179828734539,12,12,1610,4318,721,54,134.166666666667,184.347874652487,2974,60,359.833333333333,797.464401852661,2974,54,247,589.659364944429,347698.166666667,240,240,20,4,6852.86956521739,39431,-34,13747.6649884684,157443,39431,23,14313,17521.9846011699,119898,39711,1,10899.8181818182,15750.6832799445,0,0,0,0,1,0,0,0,0,0,0,1,247,42340,0,39059,35525,37172.3333333333,1452.64111955508,39422,32232,36030.25,2766.9919023192,0,0,72,5,0,42578.3560023655,134.166666666667,359.833333333333,0,12,12,1610,4318,Normal
10.0.2.15,157.240.16.20,41034,443,6,2024-02-20 11:45:33,166438,35262.3799853399,138.189596125885,72.0989197178529,66.0906764080318,12,11,1610,4259,721,54,134.166666666667,184.347874652487,2974,60,387.181818181818,827.562556622741,2974,54,255.173913043478,601.037772970104,361246.404536862,240,220,20,4,7565.36363636364,41733,7,15158.1378340165,166189,41776,18,15108.0909090909,18727.8165181419,124705,40595,230,12470.5,17423.597442836,0,0,0,0,1,0,0,0,0,0,0,0.916666666666667,255.173913043478,42340,0,41494,38286,40122.6666666667,1350.36225592328,41733,37440,39530,1642.04948159305,0,0,313,4,0,7898.45563742808,134.166666666667,387.181818181818,0,12,11,1610,4259,Normal
10.0.2.15,103.10.30.17,38600,443,6,2024-02-20 11:45:33,347479,270784.709291785,224.473996989746,100.725511469758,123.748485519988,35,43,5925,88167,733,54,169.285714285714,160.380364211115,15419,60,2050.39534883721,3572.22169251063,15419,54,1206.30769230769,2814.54464736165,7921661.57199211,700,860,20,17,4512.71428571429,170588,0,21696.4834249534,347312,212032,35,10215.0588235294,37746.2873093977,344188,171024,0,8194.95238095238,29568.0292392471,0,0,0,0,1,0,0,0,0,0,0,1.22857142857143,1206.30769230769,42340,65535,80822,13,40417.5,40404.5,170152,81245,125698.5,44453.5,0,0,75832,15,0,316122.09336257,169.285714285714,2050.39534883721,0,35,43,5925,88167,Normal
10.0.2.15,103.10.30.17,38606,443,6,2024-02-20 11:45:33,170425,32888.3673170016,117.353674636937,58.6768373184685,58.6768373184685,10,10,1514,4091,733,54,151.4,201.54761224088,2974,60,409.1,862.513588298758,2974,54,280.25,639.435600744907,408877.8875,200,200,20,4,8967.05263157895,154509,-51,34327.7808525455,170121,154509,58,18902.3333333333,47967.8294461796,166865,155115,0,18540.5555555556,48305.1368607501,0,0,0,0,1,0,0,0,0,0,0,1,280.25,42340,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.4,409.1,0,10,10,1514,4091,Normal
10.0.2.15,157.240.16.20,36186,443,17,2024-02-20 11:45:33,17171841,117051.22357003,150.187740499111,50.1984615394471,99.9892789596643,862,1717,96362,1913623,1399,73,111.788863109049,104.02483625608,1274,84,1114.51543389633,380.484138792214,1399,73,779.366033346258,568.978098153669,323736.076178566,6896,13736,8,862,6660.80294802172,6353661,-78,139928.42438538,17104545,6417489,24,19865.905923345,245140.072442898,17125087,6397214,0,9979.65442890443,173525.724883701,0,0,0,0,1,0,0,0,0,0,0,1.99187935034803,779.366033346258,0,0,6353359,1462,217798.275362319,827497.207866735,6289833,5241,173510.08045977,732424.902083785,1699.27272727273,6.72727272727273,7668.40350877193,7.24561403508772,18024.3249315602,2271068.87521822,111.788863109049,1114.51543389633,0,862,1717,96362,1913623,Normal
10.0.2.15,103.10.30.17,38618,443,6,2024-02-20 11:45:33,130491,43328.6586814416,160.930638894636,84.2970013257619,76.6336375688745,11,10,1568,4086,733,54,142.545454545455,194.197352119559,2974,60,408.6,861.330505671313,2974,54,269.238095238095,625.053133342385,390691.419501134,220,200,20,4,6524.55,114943,1,24901.3451272717,130491,114943,44,13049.1,33993.0834831146,126639,115342,1,14071,35823.1922146037,0,0,0,0,1,0,0,0,0,0,0,0.909090909090909,269.238095238095,42340,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.545454545455,408.6,0,11,10,1568,4086,Normal
10.0.2.15,110.44.120.81,38750,443,6,2024-02-20 11:45:33,212031,26420.6649027737,94.3258297135796,47.1629148567898,47.1629148567898,10,10,1513,4089,732,54,151.3,201.259061907781,2974,60,408.9,862.527732887471,2974,54,280.1,639.389622999936,408819.09,200,200,20,4,11158.2105263158,164824,-25,36872.5599850406,209360,164824,77,23262.2222222222,50925.4218981657,206699,165107,0,22966.5555555556,51125.6285983874,0,0,0,0,1,0,0,0,0,0,0,1,280.1,42340,65535,164572,5326,84949,79623,164818,5332,67049.3333333333,69922.4333354865,0,0,0,0,0,0,151.3,408.9,0,10,10,1513,4089,Normal
